Id,Users,Likes,Dislikes,Followers
15,Dlabese,4926,1907,11222
16,Gpettettf,4018,2527,11618
22,Amcgeel,4725,1315,10048
26,Pmingop,4467,1815,15328
27,Jlysterq,4710,1888,14670
28,Rkinghornr,4464,642,19513
30,Kdalgarnot,4449,2264,19038
42,Kitzakovitz15,4245,2695,10117
52,Scawse1f,4269,585,15990
53,Jsaing1g,4809,541,12046
54,Hnairns1h,4735,1255,12100
55,Ctabour1i,4576,2892,19018
56,Mtithecott1j,4393,510,12630
57,Mchastaing1k,4851,3487,11445
60,Cburder1n,4772,1053,13685
65,Cfriday1s,4216,2341,13458
69,Gletts1w,4615,2266,16537
70,Jjosefsen1x,4322,644,10889
76,Mgerriet23,4250,1512,17617
78,Pboyack25,4279,532,11095
83,Wjeavon2a,4915,2224,10632
95,Tquartermaine2m,4165,1803,15411
98,Cdarkott2p,4820,3144,10607
